"subregion","long","lat","group","order"
"South Island",170.017578125,-43.3494148254395,1108,69821
"South Island",170.103713989258,-43.2650375366211,1108,69822
"South Island",170.148818969727,-43.24755859375,1108,69823
"South Island",170.189651489258,-43.2220687866211,1108,69824
"South Island",170.240234375,-43.1638679504395,1108,69825
"South Island",170.300003051758,-43.1446266174316,1108,69826
"South Island",170.355758666992,-43.1536140441895,1108,69827
"South Island",170.396087646484,-43.1822242736816,1108,69828
"South Island",170.374313354492,-43.1346702575684,1108,69829
"South Island",170.302825927734,-43.1076164245605,1108,69830
"South Island",170.379486083984,-43.0662117004395,1108,69831
"South Island",170.458694458008,-43.0376930236816,1108,69832
"South Island",170.535842895508,-43.0584945678711,1108,69833
"South Island",170.61181640625,-43.091796875,1108,69834
"South Island",170.535842895508,-43.0407257080078,1108,69835
"South Island",170.523635864258,-43.0089836120605,1108,69836
"South Island",170.615524291992,-42.9724578857422,1108,69837
"South Island",170.665435791016,-42.9612312316895,1108,69838
"South Island",170.735244750977,-43.02978515625,1108,69839
"South Island",170.725296020508,-42.9754905700684,1108,69840
"South Island",170.741607666016,-42.9273414611816,1108,69841
"South Island",170.84033203125,-42.8486328125,1108,69842
"South Island",170.969924926758,-42.7183609008789,1108,69843
"South Island",171.011428833008,-42.763671875,1108,69844
"South Island",171.017776489258,-42.8187484741211,1108,69845
"South Island",171.01171875,-42.8850555419922,1108,69846
"South Island",171.038375854492,-42.8621063232422,1108,69847
"South Island",171.047546386719,-42.8018569946289,1108,69848
"South Island",171.027725219727,-42.6960945129395,1108,69849
"South Island",171.189559936523,-42.50048828125,1108,69850
"South Island",171.221282958984,-42.4786148071289,1108,69851
"South Island",171.257034301758,-42.46533203125,1108,69852
"South Island",171.313385009766,-42.4601593017578,1108,69853
"South Island",171.296096801758,-42.4305648803711,1108,69854
"South Island",171.252243041992,-42.4019546508789,1108,69855
"South Island",171.296493530273,-42.3025360107422,1108,69856
"South Island",171.322662353516,-42.1890640258789,1108,69857
"South Island",171.360260009766,-42.0799789428711,1108,69858
"South Island",171.420608520508,-41.9730453491211,1108,69859
"South Island",171.486221313477,-41.7947273254395,1108,69860
"South Island",171.536315917969,-41.7575187683105,1108,69861
"South Island",171.672180175781,-41.7447280883789,1108,69862
"South Island",171.731643676758,-41.7196273803711,1108,69863
"South Island",171.830657958984,-41.6551742553711,1108,69864
"South Island",171.948043823242,-41.5386734008789,1108,69865
"South Island",172.0107421875,-41.4447288513184,1108,69866
"South Island",172.093368530273,-41.2015609741211,1108,69867
"South Island",172.139450073242,-40.947265625,1108,69868
"South Island",172.272750854492,-40.7586936950684,1108,69869
"South Island",172.468170166016,-40.6221694946289,1108,69870
"South Island",172.640625,-40.5182609558105,1108,69871
"South Island",172.711120605469,-40.4966812133789,1108,69872
"South Island",172.830184936523,-40.4900398254395,1108,69873
"South Island",172.943649291992,-40.5187530517578,1108,69874
"South Island",172.732620239258,-40.5437507629395,1108,69875
"South Island",172.711120605469,-40.6053733825684,1108,69876
"South Island",172.704391479492,-40.6677742004395,1108,69877
"South Island",172.728897094727,-40.7236328125,1108,69878
"South Island",172.766799926758,-40.7734375,1108,69879
"South Island",172.869140625,-40.8203125,1108,69880
"South Island",172.988662719727,-40.8482437133789,1108,69881
"South Island",173.042282104492,-40.95361328125,1108,69882
"South Island",173.052139282227,-41.07861328125,1108,69883
"South Island",173.068649291992,-41.1858406066895,1108,69884
"South Island",173.115341186523,-41.279296875,1108,69885
"North Island",173.269424438477,-34.9347648620605,1110,69901
"North Island",173.284576416016,-34.9805679321289,1110,69902
"North Island",173.339935302734,-34.9479522705078,1110,69903
"North Island",173.381256103516,-34.896484375,1110,69904
"North Island",173.447845458984,-34.8443374633789,1110,69905
"North Island",173.438659667969,-34.9285163879395,1110,69906
"North Island",173.47265625,-34.9469718933105,1110,69907
"North Island",173.693740844727,-35.0056648254395,1110,69908
"North Island",173.7392578125,-35.0545883178711,1110,69909
"North Island",173.786224365234,-35.0685539245605,1110,69910
"North Island",173.812789916992,-35.0412101745605,1110,69911
"North Island",173.843948364258,-35.0262680053711,1110,69912
"North Island",173.923828125,-35.05712890625,1110,69913
"North Island",174.10400390625,-35.1428718566895,1110,69914
"North Island",174.118942260742,-35.17236328125,1110,69915
"North Island",174.109756469727,-35.2164077758789,1110,69916
"North Island",174.118743896484,-35.2628898620605,1110,69917
"North Island",174.143157958984,-35.2999992370605,1110,69918
"North Island",174.203216552734,-35.30859375,1110,69919
"North Island",174.282897949219,-35.2535171508789,1110,69920
"North Island",174.3203125,-35.2466773986816,1110,69921
"North Island",174.373336791992,-35.3245124816895,1110,69922
"North Island",174.393173217773,-35.3685531616211,1110,69923
"North Island",174.384963989258,-35.3670883178711,1110,69924
"North Island",174.419143676758,-35.4107437133789,1110,69925
"North Island",174.464752197266,-35.4541015625,1110,69926
"North Island",174.54345703125,-35.58203125,1110,69927
"North Island",174.53173828125,-35.626953125,1110,69928
"North Island",174.508590698242,-35.6673851013184,1110,69929
"North Island",174.580657958984,-35.7855453491211,1110,69930
"North Island",174.533493041992,-35.7937507629395,1110,69931
"North Island",174.391006469727,-35.7737312316895,1110,69932
"North Island",174.395812988281,-35.79736328125,1110,69933
"North Island",174.478713989258,-35.8840827941895,1110,69934
"North Island",174.548736572266,-36.0066413879395,1110,69935
"North Island",174.604873657227,-36.08056640625,1110,69936
"North Island",174.802154541016,-36.3094749450684,1110,69937
"North Island",174.7724609375,-36.3909149169922,1110,69938
"North Island",174.777053833008,-36.4446296691895,1110,69939
"North Island",174.751754760742,-36.4908218383789,1110,69940
"North Island",174.819244384766,-36.6121101379395,1110,69941
"North Island",174.777145385742,-36.6498031616211,1110,69942
"North Island",174.749221801758,-36.7740211486816,1110,69943
"North Island",174.718658447266,-36.7957992553711,1110,69944
"North Island",174.722457885742,-36.8412094116211,1110,69945
"North Island",174.801956176758,-36.8532218933105,1110,69946
"North Island",174.849899291992,-36.87255859375,1110,69947
"North Island",174.891403198242,-36.9093742370605,1110,69948
"North Island",174.917190551758,-36.8650360107422,1110,69949
"North Island",174.952041625977,-36.8529319763184,1110,69950
"North Island",175.047073364258,-36.9122085571289,1110,69951
"North Island",175.2451171875,-36.9712867736816,1110,69952
"North Island",175.299514770508,-36.9932594299316,1110,69953
"North Island",175.326461791992,-37.0409202575684,1110,69954
"North Island",175.3466796875,-37.1561546325684,1110,69955
"North Island",175.385345458984,-37.2069320678711,1110,69956
"North Island",175.4609375,-37.2167015075684,1110,69957
"North Island",175.54248046875,-37.2013664245605,1110,69958
"North Island",175.568161010742,-37.1593742370605,1110,69959
