ID,FamilyImp,FrndsImp,LesrImp,PoltcImp,WorkImp,RelgnImp,FeelHappy,StateofHlth,SatisfLife,Sex,Age,HighEducLev,SocialClass,Income,SizeTown,VeryHappy,AgeGroup4,MostTrusted,MaritalStatus,HwManyMembershp
2872,1,1,1,2,1,4,1,1,10,1,25,6,3,9,7,1,1,0,2,4
2889,1,2,1,4,4,4,1,1,10,2,68,7,3,2,3,1,4,1,3,4
2910,2,1,1,3,2,4,1,1,9,,,,3,8,3,1, ,0,2,4
2919,1,1,2,3,2,4,1,1,10,2,61,6,3,4,4,1,3,1,2,4
2942,1,2,2,4,,4,2,3,7,2,43,,,7, ,0,2,0,2,4
2947,1,2,2,2,2,4,2,3,8,1,59,6,3,9,5,0,3,1,2,4
2951,1,2,2,4,2,4,2,1,8,1,50,6,3, ,1,0,3,0,2,4
2953,1,2,1,3,2,4,2,1,2,1,44,1,4,9,1,0,2,0,2,4
2954,1,1,1,3,2,3,1,1,10,1,55,8,2,9,1,1,3,1,2,4
1002,1,1,2,3,2,3,1,1,9,2,68,8,,1,6,1,4,1,1,5
1010,1,1,1,3,1,2,3,2,5,2,28,9,, ,5,0,1,0,2,5
1021,1,1,1,2,1,1,2,2,7,2,34,7,4,5,5,0,1,0,3,5
1027,1,2,3,3,3,2,1,2,9,1,67,6,2,6,2,1,4,0,2,5
1110,1,2,1,2,3,2,1,1,9,1,36,9,,10,7,1,2,1,2,5
1166,1,2,2,3,1,1,2,2,7,2,70,6,,4,7,0,4,1,2,5
1195,1,2,2,2,1,3,2,1,9,1,71,6,4, ,7,0,4,0,2,5
1339,1,1,1,3,1,1,2,3,2,2,31,9,3,6, ,0,1,1,2,5
1358,1,1,1,2,1,3,1,1,9,2,50,8,, ,7,1,3, ,2,5
1374,1,1,3,3,2,2,2,1,7,2,58,7,2,8,1,0,3,1,2,5
1430,2,1,1,3,1,4,1,1,8,2,47,9,2,6,7,1,2,1,1,5
1460,1,3,1,3,2,1,3,2,4,2,43,9,3,10,7,0,2,0,2,5
1467,1,2,2,3,2,3,1,1,8,1,46,8,2,10,7,1,2,0,2,5
1481,1,1,2,3,2,4,2,1,8,2,25,8,4,1,5,0,1,0,1,5
1494,1,2,2,2,2,1,2,3,7,1,73,6,2,7,4,0,4,0,2,5
1504,1,1,1,2,1,1,2,4,7,2,37,8,2,10,6,0,2,1,2,5
